NETWORK_SID,DATETIME_KEY,NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,RFInputPower,TID,FarEndTID,SLOT,PORT
1038323445,1/21/2021 5:15:00 AM,SOEM1,17295,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-LAT02-TN1.1,AMM 6PC,-51.4,eT2c,e14b,1/3+,1
1038323445,1/21/2021 5:15:00 AM,SOEM1,17295,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-LAT02-TN1.1,AMM 6PC,-99.9,eT2c,e14b,1/2+,1
1171303172,1/21/2021 5:15:00 AM,SOEM1,17271,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-AL1621-TN2.1,AMM 6PC,-34.1,A21g,P63d,1/5+,1
1171303172,1/21/2021 5:15:00 AM,SOEM1,17271,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-AL1621-TN2.1,AMM 6PC,-89.3,A21d,592b,1/3+,1
1171303172,1/21/2021 5:15:00 AM,SOEM1,17271,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-AL1621-TN2.1,AMM 6PC,-35.4,A21h,P63c,1/4+,1
1171303172,1/21/2021 5:15:00 AM,SOEM1,17271,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-AL1621-TN2.1,AMM 6PC,-93.7,A21d,592b,1/2+,1
1012206648,1/21/2021 5:15:00 AM,SOEM1,17290,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-LA0318.1,AMM 2PB,-44.8,e18c,e20c,1/2+,1
1012206648,1/21/2021 5:15:00 AM,SOEM1,17290,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-LA0318.1,AMM 2PB,-45.7,e18c,d37b,1/3+,1
334952527,1/21/2021 5:15:00 AM,SOEM1,17328,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-AL6282.1,AMM 6PC,-46.4,f82b,L56g,1/3+,1
334952527,1/21/2021 5:15:00 AM,SOEM1,17328,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-AL6282.1,AMM 6PC,-43.2,f82a,670b,1/2+,1
334952527,1/21/2021 5:15:00 AM,SOEM1,17328,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-AL6282.1,AMM 6PC,-42.9,f82c,h45d,1/5+,1
1310616444,1/21/2021 5:15:00 AM,SOEM1,17272,1/6.1/1,2021-01-21 00:00:00,24,Near End,TN-AL1621-TN1.1,AMM 6PC,-43.5,A21f,585a,1/6+,1
1310616444,1/21/2021 5:15:00 AM,SOEM1,17272,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-AL1621-TN1.1,AMM 6PC,-49.5,A21c,439a,1/2+,1
480320981,1/21/2021 5:15:00 AM,SOEM1,17307,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-KH4019-TN1-Metro.1,AMM 20PB,-40.4,719z,7B1z,1/2+,1
480320981,1/21/2021 5:15:00 AM,SOEM1,17307,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-KH4019-TN1-Metro.1,AMM 20PB,-40.4,719y,7B1y,1/3+,1
480320981,1/21/2021 5:15:00 AM,SOEM1,17307,1/16.1/1,2021-01-21 00:00:00,24,Near End,TN-KH4019-TN1-Metro.1,AMM 20PB,-40.4,719r,WB1r,1/16+,1
480320981,1/21/2021 5:15:00 AM,SOEM1,17307,1/17.1/1,2021-01-21 00:00:00,24,Near End,TN-KH4019-TN1-Metro.1,AMM 20PB,-41.6,719s,WB1s,1/17+,1
480320981,1/21/2021 5:15:00 AM,SOEM1,17307,1/15.1/1,2021-01-21 00:00:00,24,Near End,TN-KH4019-TN1-Metro.1,AMM 20PB,-40.7,719v,WB1v,1/15+,1
480320981,1/21/2021 5:15:00 AM,SOEM1,17307,1/14.1/1,2021-01-21 00:00:00,24,Near End,TN-KH4019-TN1-Metro.1,AMM 20PB,-41.3,719x,WB1x,1/14+,1
480320981,1/21/2021 5:15:00 AM,SOEM1,17307,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-KH4019-TN1-Metro.1,AMM 20PB,-40.7,719o,7B1o,1/4+,1
480320981,1/21/2021 5:15:00 AM,SOEM1,17307,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-KH4019-TN1-Metro.1,AMM 20PB,-41.0,719p,7B1p,1/5+,1
287072600,1/21/2021 5:15:00 AM,SOEM1,17303,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-TO1576.1,AMM 2PB,-48.9,Z76a,Z82b,1/2+,1
362792273,1/21/2021 5:15:00 AM,SOEM1,17322,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-TP4218.1,AMM 2PB,-49.2,T18b,T17c,1/2+,1
1935281503,1/21/2021 5:15:00 AM,SOEM1,17314,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-ALPOS26.1,AMM 2PB,-39.1,APza,597c,1/2+,1
1584367418,1/21/2021 5:15:00 AM,SOEM1,17315,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-TP4255.1,AMM 2PB,-42.9,T55a,T06d,1/2+,1
643162892,1/21/2021 5:15:00 AM,SOEM1,17302,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-TP4217.1,AMM 6PC,-45.7,T17e,T74a,1/5+,1
643162892,1/21/2021 5:15:00 AM,SOEM1,17302,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-TP4217.1,AMM 6PC,-47.0,T17c,T18b,1/4+,1
643162892,1/21/2021 5:15:00 AM,SOEM1,17302,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-TP4217.1,AMM 6PC,-41.0,T17b,T97e,1/3+,1
631513708,1/21/2021 5:15:00 AM,SOEM1,17289,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-LA0320.1,AMM 2PB,-44.2,e20b,eT1h,1/3+,1
631513708,1/21/2021 5:15:00 AM,SOEM1,17289,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-LA0320.1,AMM 2PB,-45.7,e20c,e18c,1/2+,1
